Inscripción CCAA código	Inscripción CCAA nombre	Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Sexo	Personas
02	Aragón	2013	4	Asia	07	Asia	437	Vietnam	Hombre	4
02	Aragón	2013	4	Asia	07	Asia	437	Vietnam	Mujer	3
02	Aragón	2013	4	Asia	07	Asia	438	Taiwan	Hombre	6
02	Aragón	2013	4	Asia	07	Asia	438	Taiwan	Mujer	1
02	Aragón	2013	4	Asia	07	Asia	441	Yemen	Hombre	1
02	Aragón	2013	4	Asia	07	Asia	443	Kazajstan	Hombre	2
02	Aragón	2013	5	Oceanía	08	Oceanía	501	Australia	Hombre	110
02	Aragón	2013	5	Oceanía	08	Oceanía	501	Australia	Mujer	121
02	Aragón	2013	5	Oceanía	08	Oceanía	504	Nueva Zelanda	Hombre	4
02	Aragón	2013	5	Oceanía	08	Oceanía	504	Nueva Zelanda	Mujer	8
02	Aragón	2014	1	Europa	01	UE-28	102	Austria	Hombre	52
02	Aragón	2014	1	Europa	01	UE-28	102	Austria	Mujer	75
02	Aragón	2014	1	Europa	01	UE-28	103	Bélgica	Hombre	389
02	Aragón	2014	1	Europa	01	UE-28	103	Bélgica	Mujer	399
02	Aragón	2014	1	Europa	01	UE-28	104	Bulgaria	Hombre	3
02	Aragón	2014	1	Europa	01	UE-28	104	Bulgaria	Mujer	1
02	Aragón	2014	1	Europa	01	UE-28	106	Chipre	Mujer	2
02	Aragón	2014	1	Europa	01	UE-28	107	Dinamarca	Hombre	34
02	Aragón	2014	1	Europa	01	UE-28	107	Dinamarca	Mujer	37
02	Aragón	2014	1	Europa	01	UE-28	109	Finlandia	Hombre	34
02	Aragón	2014	1	Europa	01	UE-28	109	Finlandia	Mujer	21
02	Aragón	2014	1	Europa	01	UE-28	110	Francia	Hombre	3743
02	Aragón	2014	1	Europa	01	UE-28	110	Francia	Mujer	3825
02	Aragón	2014	1	Europa	01	UE-28	111	Grecia	Hombre	24
02	Aragón	2014	1	Europa	01	UE-28	111	Grecia	Mujer	34
02	Aragón	2014	1	Europa	01	UE-28	112	Hungría	Hombre	9
02	Aragón	2014	1	Europa	01	UE-28	112	Hungría	Mujer	6
02	Aragón	2014	1	Europa	01	UE-28	113	Irlanda	Hombre	66
02	Aragón	2014	1	Europa	01	UE-28	113	Irlanda	Mujer	79
02	Aragón	2014	1	Europa	01	UE-28	115	Italia	Hombre	177
02	Aragón	2014	1	Europa	01	UE-28	115	Italia	Mujer	330
02	Aragón	2014	1	Europa	01	UE-28	117	Luxemburgo	Hombre	38
02	Aragón	2014	1	Europa	01	UE-28	117	Luxemburgo	Mujer	56
02	Aragón	2014	1	Europa	01	UE-28	118	Malta	Hombre	2
02	Aragón	2014	1	Europa	01	UE-28	121	Países Bajos	Hombre	164
02	Aragón	2014	1	Europa	01	UE-28	121	Países Bajos	Mujer	228
02	Aragón	2014	1	Europa	01	UE-28	122	Polonia	Hombre	29
02	Aragón	2014	1	Europa	01	UE-28	122	Polonia	Mujer	17
02	Aragón	2014	1	Europa	01	UE-28	123	Portugal	Hombre	74
02	Aragón	2014	1	Europa	01	UE-28	123	Portugal	Mujer	86
02	Aragón	2014	1	Europa	01	UE-28	125	Reino Unido	Hombre	768
02	Aragón	2014	1	Europa	01	UE-28	125	Reino Unido	Mujer	907
02	Aragón	2014	1	Europa	01	UE-28	126	Alemania	Hombre	1080
02	Aragón	2014	1	Europa	01	UE-28	126	Alemania	Mujer	1160
02	Aragón	2014	1	Europa	01	UE-28	128	Rumanía	Hombre	12
02	Aragón	2014	1	Europa	01	UE-28	128	Rumanía	Mujer	2
02	Aragón	2014	1	Europa	01	UE-28	131	Suecia	Hombre	84
02	Aragón	2014	1	Europa	01	UE-28	131	Suecia	Mujer	62
02	Aragón	2014	1	Europa	01	UE-28	136	Letonia	Hombre	1
02	Aragón	2014	1	Europa	01	UE-28	136	Letonia	Mujer	1
02	Aragón	2014	1	Europa	01	UE-28	141	Estonia	Hombre	1
02	Aragón	2014	1	Europa	01	UE-28	142	Lituania	Hombre	2
02	Aragón	2014	1	Europa	01	UE-28	143	República Checa	Hombre	18
02	Aragón	2014	1	Europa	01	UE-28	143	República Checa	Mujer	11
02	Aragón	2014	1	Europa	01	UE-28	144	Eslovaquia	Hombre	5
02	Aragón	2014	1	Europa	01	UE-28	144	Eslovaquia	Mujer	1
02	Aragón	2014	1	Europa	01	UE-28	146	Croacia	Hombre	1
02	Aragón	2014	1	Europa	01	UE-28	146	Croacia	Mujer	3
02	Aragón	2014	1	Europa	01	UE-28	147	Eslovenia	Hombre	2
02	Aragón	2014	1	Europa	01	UE-28	147	Eslovenia	Mujer	2
02	Aragón	2014	1	Europa	02	Resto de Europa	101	Albania	Hombre	1
02	Aragón	2014	1	Europa	02	Resto de Europa	114	Islandia	Hombre	1
02	Aragón	2014	1	Europa	02	Resto de Europa	114	Islandia	Mujer	4
02	Aragón	2014	1	Europa	02	Resto de Europa	120	Noruega	Hombre	21
02	Aragón	2014	1	Europa	02	Resto de Europa	120	Noruega	Mujer	20
02	Aragón	2014	1	Europa	02	Resto de Europa	124	Andorra	Hombre	356
02	Aragón	2014	1	Europa	02	Resto de Europa	124	Andorra	Mujer	348
02	Aragón	2014	1	Europa	02	Resto de Europa	132	Suiza	Hombre	441
02	Aragón	2014	1	Europa	02	Resto de Europa	132	Suiza	Mujer	559
02	Aragón	2014	1	Europa	02	Resto de Europa	135	Ucrania	Hombre	7
02	Aragón	2014	1	Europa	02	Resto de Europa	145	Bosnia-Herzegovina	Hombre	2
02	Aragón	2014	1	Europa	02	Resto de Europa	145	Bosnia-Herzegovina	Mujer	2
02	Aragón	2014	1	Europa	02	Resto de Europa	154	Rusia	Hombre	18
02	Aragón	2014	1	Europa	02	Resto de Europa	154	Rusia	Mujer	19
02	Aragón	2014	1	Europa	02	Resto de Europa	157	Serbia	Hombre	4
02	Aragón	2014	1	Europa	02	Resto de Europa	436	Turquía	Hombre	15
02	Aragón	2014	1	Europa	02	Resto de Europa	436	Turquía	Mujer	7
02	Aragón	2014	2	África	03	Magreb	203	Argelia	Hombre	2
02	Aragón	2014	2	África	03	Magreb	203	Argelia	Mujer	2
02	Aragón	2014	2	África	03	Magreb	224	Libia	Hombre	1
02	Aragón	2014	2	África	03	Magreb	228	Marruecos	Hombre	53
02	Aragón	2014	2	África	03	Magreb	228	Marruecos	Mujer	53
02	Aragón	2014	2	África	03	Magreb	230	Mauritania	Hombre	5
02	Aragón	2014	2	África	03	Magreb	230	Mauritania	Mujer	1
02	Aragón	2014	2	África	03	Magreb	248	Túnez	Hombre	18
02	Aragón	2014	2	África	03	Magreb	248	Túnez	Mujer	16
02	Aragón	2014	2	África	04	Resto de África	202	Angola	Hombre	7
02	Aragón	2014	2	África	04	Resto de África	202	Angola	Mujer	3
02	Aragón	2014	2	África	04	Resto de África	204	Benin	Hombre	1
02	Aragón	2014	2	África	04	Resto de África	208	Camerún	Hombre	4
02	Aragón	2014	2	África	04	Resto de África	208	Camerún	Mujer	3
02	Aragón	2014	2	África	04	Resto de África	211	Costa de Marfil	Hombre	2
02	Aragón	2014	2	África	04	Resto de África	211	Costa de Marfil	Mujer	7
02	Aragón	2014	2	África	04	Resto de África	213	Egipto	Hombre	3
02	Aragón	2014	2	África	04	Resto de África	213	Egipto	Mujer	4
02	Aragón	2014	2	África	04	Resto de África	214	Etiopía	Hombre	1
02	Aragón	2014	2	África	04	Resto de África	214	Etiopía	Mujer	3
02	Aragón	2014	2	África	04	Resto de África	215	Gabón	Hombre	2
02	Aragón	2014	2	África	04	Resto de África	215	Gabón	Mujer	6
02	Aragón	2014	2	África	04	Resto de África	216	Gambia	Hombre	23
02	Aragón	2014	2	África	04	Resto de África	216	Gambia	Mujer	13
02	Aragón	2014	2	África	04	Resto de África	217	Ghana	Mujer	3
02	Aragón	2014	2	África	04	Resto de África	218	Guinea	Hombre	1
02	Aragón	2014	2	África	04	Resto de África	218	Guinea	Mujer	1
02	Aragón	2014	2	África	04	Resto de África	219	Guinea Bissau	Hombre	4
02	Aragón	2014	2	África	04	Resto de África	219	Guinea Bissau	Mujer	2
02	Aragón	2014	2	África	04	Resto de África	220	Guinea Ecuatorial	Hombre	33
02	Aragón	2014	2	África	04	Resto de África	220	Guinea Ecuatorial	Mujer	33
02	Aragón	2014	2	África	04	Resto de África	221	Kenia	Hombre	2
02	Aragón	2014	2	África	04	Resto de África	221	Kenia	Mujer	6
02	Aragón	2014	2	África	04	Resto de África	225	Madagascar	Mujer	1
02	Aragón	2014	2	África	04	Resto de África	226	Malawi	Hombre	1
02	Aragón	2014	2	África	04	Resto de África	231	Mozambique	Hombre	3
02	Aragón	2014	2	África	04	Resto de África	231	Mozambique	Mujer	2
02	Aragón	2014	2	África	04	Resto de África	232	Namibia	Hombre	3
02	Aragón	2014	2	África	04	Resto de África	232	Namibia	Mujer	2
02	Aragón	2014	2	África	04	Resto de África	234	Nigeria	Hombre	1
02	Aragón	2014	2	África	04	Resto de África	234	Nigeria	Mujer	1
02	Aragón	2014	2	África	04	Resto de África	236	Sudáfrica	Hombre	18
02	Aragón	2014	2	África	04	Resto de África	236	Sudáfrica	Mujer	25
02	Aragón	2014	2	África	04	Resto de África	237	Ruanda	Mujer	1
02	Aragón	2014	2	África	04	Resto de África	239	Senegal	Hombre	22
02	Aragón	2014	2	África	04	Resto de África	239	Senegal	Mujer	9
02	Aragón	2014	2	África	04	Resto de África	243	Sudán	Hombre	3
02	Aragón	2014	2	África	04	Resto de África	243	Sudán	Mujer	2
02	Aragón	2014	2	África	04	Resto de África	245	Tanzania	Hombre	2
02	Aragón	2014	2	África	04	Resto de África	245	Tanzania	Mujer	2
02	Aragón	2014	2	África	04	Resto de África	246	Chad	Hombre	1
02	Aragón	2014	2	África	04	Resto de África	246	Chad	Mujer	1
02	Aragón	2014	2	África	04	Resto de África	247	Togo	Hombre	2
02	Aragón	2014	2	África	04	Resto de África	250	Rep. Democrática del Congo	Hombre	5
02	Aragón	2014	2	África	04	Resto de África	250	Rep. Democrática del Congo	Mujer	1
02	Aragón	2014	2	África	04	Resto de África	252	Zimbabwe	Hombre	2
02	Aragón	2014	2	África	04	Resto de África	252	Zimbabwe	Mujer	1
02	Aragón	2014	3	América	05	América del Norte	301	Canadá	Hombre	245
02	Aragón	2014	3	América	05	América del Norte	301	Canadá	Mujer	208
02	Aragón	2014	3	América	05	América del Norte	302	Estados Unidos de América	Hombre	842
02	Aragón	2014	3	América	05	América del Norte	302	Estados Unidos de América	Mujer	1193
02	Aragón	2014	3	América	06	Resto de América	303	México	Hombre	754
02	Aragón	2014	3	América	06	Resto de América	303	México	Mujer	759
02	Aragón	2014	3	América	06	Resto de América	313	Belice	Mujer	1
02	Aragón	2014	3	América	06	Resto de América	314	Costa Rica	Hombre	47
02	Aragón	2014	3	América	06	Resto de América	314	Costa Rica	Mujer	50
02	Aragón	2014	3	América	06	Resto de América	315	Cuba	Hombre	138
02	Aragón	2014	3	América	06	Resto de América	315	Cuba	Mujer	182
02	Aragón	2014	3	América	06	Resto de América	317	El Salvador	Hombre	10
02	Aragón	2014	3	América	06	Resto de América	317	El Salvador	Mujer	8
02	Aragón	2014	3	América	06	Resto de América	319	Guatemala	Hombre	53
02	Aragón	2014	3	América	06	Resto de América	319	Guatemala	Mujer	56
02	Aragón	2014	3	América	06	Resto de América	320	Haití	Mujer	1
02	Aragón	2014	3	América	06	Resto de América	321	Honduras	Hombre	38
02	Aragón	2014	3	América	06	Resto de América	321	Honduras	Mujer	34
02	Aragón	2014	3	América	06	Resto de América	322	Jamaica	Hombre	1
02	Aragón	2014	3	América	06	Resto de América	322	Jamaica	Mujer	1
02	Aragón	2014	3	América	06	Resto de América	323	Nicaragua	Hombre	24
02	Aragón	2014	3	América	06	Resto de América	323	Nicaragua	Mujer	10
02	Aragón	2014	3	América	06	Resto de América	324	Panamá	Hombre	104
02	Aragón	2014	3	América	06	Resto de América	324	Panamá	Mujer	107
02	Aragón	2014	3	América	06	Resto de América	326	República Dominicana	Hombre	103
02	Aragón	2014	3	América	06	Resto de América	326	República Dominicana	Mujer	90
02	Aragón	2014	3	América	06	Resto de América	327	Trinidad y Tobago	Hombre	1
02	Aragón	2014	3	América	06	Resto de América	328	Santa Lucia	Hombre	1
02	Aragón	2014	3	América	06	Resto de América	328	Santa Lucia	Mujer	2
02	Aragón	2014	3	América	06	Resto de América	329	San Cristóbal y Nieves	Hombre	1
02	Aragón	2014	3	América	06	Resto de América	340	Argentina	Hombre	2366
02	Aragón	2014	3	América	06	Resto de América	340	Argentina	Mujer	2798
02	Aragón	2014	3	América	06	Resto de América	341	Bolivia	Hombre	69
02	Aragón	2014	3	América	06	Resto de América	341	Bolivia	Mujer	63
02	Aragón	2014	3	América	06	Resto de América	342	Brasil	Hombre	948
02	Aragón	2014	3	América	06	Resto de América	342	Brasil	Mujer	958
02	Aragón	2014	3	América	06	Resto de América	343	Colombia	Hombre	186
02	Aragón	2014	3	América	06	Resto de América	343	Colombia	Mujer	198
02	Aragón	2014	3	América	06	Resto de América	344	Chile	Hombre	751
02	Aragón	2014	3	América	06	Resto de América	344	Chile	Mujer	718
02	Aragón	2014	3	América	06	Resto de América	345	Ecuador	Hombre	425
02	Aragón	2014	3	América	06	Resto de América	345	Ecuador	Mujer	440
02	Aragón	2014	3	América	06	Resto de América	347	Paraguay	Hombre	95
02	Aragón	2014	3	América	06	Resto de América	347	Paraguay	Mujer	79
02	Aragón	2014	3	América	06	Resto de América	348	Perú	Hombre	222
02	Aragón	2014	3	América	06	Resto de América	348	Perú	Mujer	214
02	Aragón	2014	3	América	06	Resto de América	350	Uruguay	Hombre	176
02	Aragón	2014	3	América	06	Resto de América	350	Uruguay	Mujer	205
02	Aragón	2014	3	América	06	Resto de América	351	Venezuela	Hombre	1094
02	Aragón	2014	3	América	06	Resto de América	351	Venezuela	Mujer	1088
02	Aragón	2014	4	Asia	07	Asia	401	Afganistán	Hombre	1
02	Aragón	2014	4	Asia	07	Asia	401	Afganistán	Mujer	1
02	Aragón	2014	4	Asia	07	Asia	402	Arabia Saudí	Hombre	32
02	Aragón	2014	4	Asia	07	Asia	402	Arabia Saudí	Mujer	19
02	Aragón	2014	4	Asia	07	Asia	407	China	Hombre	48
02	Aragón	2014	4	Asia	07	Asia	407	China	Mujer	29
02	Aragón	2014	4	Asia	07	Asia	408	Emiratos Arabes Unidos	Hombre	18
02	Aragón	2014	4	Asia	07	Asia	408	Emiratos Arabes Unidos	Mujer	26
02	Aragón	2014	4	Asia	07	Asia	409	Filipinas	Hombre	36
02	Aragón	2014	4	Asia	07	Asia	409	Filipinas	Mujer	21
02	Aragón	2014	4	Asia	07	Asia	410	India	Hombre	9
02	Aragón	2014	4	Asia	07	Asia	410	India	Mujer	14
02	Aragón	2014	4	Asia	07	Asia	411	Indonesia	Hombre	5
02	Aragón	2014	4	Asia	07	Asia	411	Indonesia	Mujer	3
02	Aragón	2014	4	Asia	07	Asia	413	Irán	Mujer	1
02	Aragón	2014	4	Asia	07	Asia	414	Israel	Hombre	12
02	Aragón	2014	4	Asia	07	Asia	414	Israel	Mujer	12
02	Aragón	2014	4	Asia	07	Asia	415	Japón	Hombre	18
02	Aragón	2014	4	Asia	07	Asia	415	Japón	Mujer	12
02	Aragón	2014	4	Asia	07	Asia	416	Jordania	Hombre	36
02	Aragón	2014	4	Asia	07	Asia	416	Jordania	Mujer	45
02	Aragón	2014	4	Asia	07	Asia	417	Camboya	Hombre	5
02	Aragón	2014	4	Asia	07	Asia	417	Camboya	Mujer	1
02	Aragón	2014	4	Asia	07	Asia	418	Kuwait	Hombre	2
02	Aragón	2014	4	Asia	07	Asia	418	Kuwait	Mujer	4
02	Aragón	2014	4	Asia	07	Asia	420	Líbano	Hombre	17
02	Aragón	2014	4	Asia	07	Asia	420	Líbano	Mujer	19
02	Aragón	2014	4	Asia	07	Asia	421	Malasia	Hombre	3
02	Aragón	2014	4	Asia	07	Asia	421	Malasia	Mujer	5
02	Aragón	2014	4	Asia	07	Asia	425	Omán	Hombre	1
02	Aragón	2014	4	Asia	07	Asia	426	Pakistán	Hombre	4
02	Aragón	2014	4	Asia	07	Asia	426	Pakistán	Mujer	5
02	Aragón	2014	4	Asia	07	Asia	427	Qatar	Hombre	5
02	Aragón	2014	4	Asia	07	Asia	427	Qatar	Mujer	5
02	Aragón	2014	4	Asia	07	Asia	430	República de Corea	Hombre	5
02	Aragón	2014	4	Asia	07	Asia	430	República de Corea	Mujer	3
02	Aragón	2014	4	Asia	07	Asia	432	Singapur	Hombre	10
02	Aragón	2014	4	Asia	07	Asia	432	Singapur	Mujer	9
02	Aragón	2014	4	Asia	07	Asia	433	Siria	Hombre	20
02	Aragón	2014	4	Asia	07	Asia	433	Siria	Mujer	13
02	Aragón	2014	4	Asia	07	Asia	435	Tailandia	Hombre	11
02	Aragón	2014	4	Asia	07	Asia	435	Tailandia	Mujer	2
02	Aragón	2014	4	Asia	07	Asia	437	Vietnam	Hombre	4
02	Aragón	2014	4	Asia	07	Asia	437	Vietnam	Mujer	3
02	Aragón	2014	4	Asia	07	Asia	443	Kazajstan	Hombre	2
02	Aragón	2014	4	Asia	07	Asia	499	Países sin relaciones diplomáticas	Hombre	20
02	Aragón	2014	4	Asia	07	Asia	499	Países sin relaciones diplomáticas	Mujer	13
02	Aragón	2014	5	Oceanía	08	Oceanía	501	Australia	Hombre	122
02	Aragón	2014	5	Oceanía	08	Oceanía	501	Australia	Mujer	133
02	Aragón	2014	5	Oceanía	08	Oceanía	504	Nueva Zelanda	Hombre	6
02	Aragón	2014	5	Oceanía	08	Oceanía	504	Nueva Zelanda	Mujer	8
02	Aragón	2014	5	Oceanía	08	Oceanía	505	Papua Nueva Guinea	Hombre	1
02	Aragón	2015	1	Europa	01	UE-28	102	Austria	Hombre	60
02	Aragón	2015	1	Europa	01	UE-28	102	Austria	Mujer	84
02	Aragón	2015	1	Europa	01	UE-28	103	Bélgica	Hombre	410
02	Aragón	2015	1	Europa	01	UE-28	103	Bélgica	Mujer	424
02	Aragón	2015	1	Europa	01	UE-28	104	Bulgaria	Hombre	3
02	Aragón	2015	1	Europa	01	UE-28	104	Bulgaria	Mujer	1
02	Aragón	2015	1	Europa	01	UE-28	106	Chipre	Mujer	1
02	Aragón	2015	1	Europa	01	UE-28	107	Dinamarca	Hombre	35
02	Aragón	2015	1	Europa	01	UE-28	107	Dinamarca	Mujer	52
02	Aragón	2015	1	Europa	01	UE-28	109	Finlandia	Hombre	43
02	Aragón	2015	1	Europa	01	UE-28	109	Finlandia	Mujer	23
02	Aragón	2015	1	Europa	01	UE-28	110	Francia	Hombre	3869
02	Aragón	2015	1	Europa	01	UE-28	110	Francia	Mujer	3941
02	Aragón	2015	1	Europa	01	UE-28	111	Grecia	Hombre	23
02	Aragón	2015	1	Europa	01	UE-28	111	Grecia	Mujer	37
02	Aragón	2015	1	Europa	01	UE-28	112	Hungría	Hombre	7
02	Aragón	2015	1	Europa	01	UE-28	112	Hungría	Mujer	9
02	Aragón	2015	1	Europa	01	UE-28	113	Irlanda	Hombre	74
02	Aragón	2015	1	Europa	01	UE-28	113	Irlanda	Mujer	84
02	Aragón	2015	1	Europa	01	UE-28	115	Italia	Hombre	186
02	Aragón	2015	1	Europa	01	UE-28	115	Italia	Mujer	343
02	Aragón	2015	1	Europa	01	UE-28	117	Luxemburgo	Hombre	46
02	Aragón	2015	1	Europa	01	UE-28	117	Luxemburgo	Mujer	60
02	Aragón	2015	1	Europa	01	UE-28	118	Malta	Hombre	2
02	Aragón	2015	1	Europa	01	UE-28	121	Países Bajos	Hombre	176
02	Aragón	2015	1	Europa	01	UE-28	121	Países Bajos	Mujer	248
02	Aragón	2015	1	Europa	01	UE-28	122	Polonia	Hombre	32
02	Aragón	2015	1	Europa	01	UE-28	122	Polonia	Mujer	17
02	Aragón	2015	1	Europa	01	UE-28	123	Portugal	Hombre	75
02	Aragón	2015	1	Europa	01	UE-28	123	Portugal	Mujer	85
02	Aragón	2015	1	Europa	01	UE-28	125	Reino Unido	Hombre	879
02	Aragón	2015	1	Europa	01	UE-28	125	Reino Unido	Mujer	1022
02	Aragón	2015	1	Europa	01	UE-28	126	Alemania	Hombre	1189
02	Aragón	2015	1	Europa	01	UE-28	126	Alemania	Mujer	1262
02	Aragón	2015	1	Europa	01	UE-28	128	Rumanía	Hombre	17
02	Aragón	2015	1	Europa	01	UE-28	128	Rumanía	Mujer	4
02	Aragón	2015	1	Europa	01	UE-28	131	Suecia	Hombre	91
02	Aragón	2015	1	Europa	01	UE-28	131	Suecia	Mujer	68
02	Aragón	2015	1	Europa	01	UE-28	136	Letonia	Hombre	1
02	Aragón	2015	1	Europa	01	UE-28	136	Letonia	Mujer	1
02	Aragón	2015	1	Europa	01	UE-28	141	Estonia	Hombre	1
02	Aragón	2015	1	Europa	01	UE-28	142	Lituania	Hombre	3
02	Aragón	2015	1	Europa	01	UE-28	143	República Checa	Hombre	20
02	Aragón	2015	1	Europa	01	UE-28	143	República Checa	Mujer	13
02	Aragón	2015	1	Europa	01	UE-28	144	Eslovaquia	Hombre	6
02	Aragón	2015	1	Europa	01	UE-28	144	Eslovaquia	Mujer	1
02	Aragón	2015	1	Europa	01	UE-28	146	Croacia	Hombre	2
02	Aragón	2015	1	Europa	01	UE-28	146	Croacia	Mujer	4
02	Aragón	2015	1	Europa	01	UE-28	147	Eslovenia	Hombre	2
02	Aragón	2015	1	Europa	01	UE-28	147	Eslovenia	Mujer	2
02	Aragón	2015	1	Europa	02	Resto de Europa	101	Albania	Hombre	1
02	Aragón	2015	1	Europa	02	Resto de Europa	114	Islandia	Hombre	2
02	Aragón	2015	1	Europa	02	Resto de Europa	114	Islandia	Mujer	3
02	Aragón	2015	1	Europa	02	Resto de Europa	120	Noruega	Hombre	22
02	Aragón	2015	1	Europa	02	Resto de Europa	120	Noruega	Mujer	23
02	Aragón	2015	1	Europa	02	Resto de Europa	124	Andorra	Hombre	345
02	Aragón	2015	1	Europa	02	Resto de Europa	124	Andorra	Mujer	347
02	Aragón	2015	1	Europa	02	Resto de Europa	132	Suiza	Hombre	462
02	Aragón	2015	1	Europa	02	Resto de Europa	132	Suiza	Mujer	582
02	Aragón	2015	1	Europa	02	Resto de Europa	135	Ucrania	Hombre	6
02	Aragón	2015	1	Europa	02	Resto de Europa	145	Bosnia-Herzegovina	Hombre	2
02	Aragón	2015	1	Europa	02	Resto de Europa	145	Bosnia-Herzegovina	Mujer	1
02	Aragón	2015	1	Europa	02	Resto de Europa	154	Rusia	Hombre	18
02	Aragón	2015	1	Europa	02	Resto de Europa	154	Rusia	Mujer	20
02	Aragón	2015	1	Europa	02	Resto de Europa	157	Serbia	Hombre	3
02	Aragón	2015	1	Europa	02	Resto de Europa	436	Turquía	Hombre	19
02	Aragón	2015	1	Europa	02	Resto de Europa	436	Turquía	Mujer	8
02	Aragón	2015	2	África	03	Magreb	203	Argelia	Hombre	3
02	Aragón	2015	2	África	03	Magreb	203	Argelia	Mujer	5
02	Aragón	2015	2	África	03	Magreb	224	Libia	Hombre	1
02	Aragón	2015	2	África	03	Magreb	228	Marruecos	Hombre	62
02	Aragón	2015	2	África	03	Magreb	228	Marruecos	Mujer	55
02	Aragón	2015	2	África	03	Magreb	230	Mauritania	Hombre	7
02	Aragón	2015	2	África	03	Magreb	230	Mauritania	Mujer	1
02	Aragón	2015	2	África	03	Magreb	248	Túnez	Hombre	19
02	Aragón	2015	2	África	03	Magreb	248	Túnez	Mujer	16
02	Aragón	2015	2	África	04	Resto de África	202	Angola	Hombre	6
02	Aragón	2015	2	África	04	Resto de África	202	Angola	Mujer	3
02	Aragón	2015	2	África	04	Resto de África	204	Benin	Hombre	2
02	Aragón	2015	2	África	04	Resto de África	207	Cabo Verde	Hombre	2
02	Aragón	2015	2	África	04	Resto de África	207	Cabo Verde	Mujer	1
02	Aragón	2015	2	África	04	Resto de África	208	Camerún	Hombre	4
02	Aragón	2015	2	África	04	Resto de África	208	Camerún	Mujer	3
02	Aragón	2015	2	África	04	Resto de África	211	Costa de Marfil	Hombre	7
02	Aragón	2015	2	África	04	Resto de África	211	Costa de Marfil	Mujer	6
02	Aragón	2015	2	África	04	Resto de África	213	Egipto	Hombre	3
02	Aragón	2015	2	África	04	Resto de África	213	Egipto	Mujer	2
02	Aragón	2015	2	África	04	Resto de África	214	Etiopía	Hombre	1
02	Aragón	2015	2	África	04	Resto de África	214	Etiopía	Mujer	2
02	Aragón	2015	2	África	04	Resto de África	215	Gabón	Hombre	2
02	Aragón	2015	2	África	04	Resto de África	215	Gabón	Mujer	4
02	Aragón	2015	2	África	04	Resto de África	216	Gambia	Hombre	50
02	Aragón	2015	2	África	04	Resto de África	216	Gambia	Mujer	12
02	Aragón	2015	2	África	04	Resto de África	217	Ghana	Mujer	2
